_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD_NAME,X,Y,LONGITUDE,LATITUDE,MI_PRINX,OBJECTID,CAPACITY,MULTIMODAL,SEASONAL,SHELTERED,SURFACE,STATUS,LOCATION,NOTES,MAP_CLASS,geometry
5999,879005,1,Wales Ave,1 Wales Ave,M5T 1J2,former TORONTO,Toronto,1144936,1,,,,4615,University-Rosedale (1111),,,,,2801910,215,14,No,Yes,,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.4016541643, 43.6531393779)}"
6000,10223856,267,Richmond St W,267 Richmond St W,M5V 3M6,former TORONTO,Toronto,10223853,267,,,,4277,Spadina-Fort York (1010),,,,,4146385,216,14,No,Yes,,,Installed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.3916622947, 43.6487348732)}"
6001,8292978,300,Campbell Ave,300 Campbell Ave,M6P 3V6,former TORONTO,Toronto,14013754,300,,,,3109,Davenport (909),,,,,4144320,217,14,No,Yes,No,,Installed,In pay and display,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.4501491971, 43.6656792457)}"
6002,13971017,1175,Dundas St E,1175 Dundas St E,,former TORONTO,Toronto,7576983,1175,,,,3334,Toronto-Danforth (1414),,,,,2218326,218,5,No,No,,concrete,Installed,back of walk,Angled,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3417606, 43.6644593861)}"
6003,857005,1360,Queen St W,1360 Queen St W,M6K 1L7,former TORONTO,Toronto,1146832,1360,,,,4238,Parkdale-High Park (404),,,,,2589451,219,8,No,No,,concrete,Installed,back of walk,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4328131013, 43.6416301079)}"
6004,9212134,166,Alberta Ave,166 Alberta Ave,,former TORONTO,Toronto,9212137,166,,,,404,Davenport (909),,,,,3187415,220,5,No,No,,concrete,Installed,end of Alberta,Angled,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.4339879436, 43.6803158877)}"
6005,10906828,180,Elizabeth St,180 Elizabeth St,,former TORONTO,Toronto,10906830,180,,,,9766,University-Rosedale (1111),,,,,1576283,221,5,No,No,,concrete,Installed,front of walk,Angled,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3864697233, 43.6577754678)}"
6006,12464520,2246,Lake Shore Blvd W,2246 Lake Shore Blvd W,M8V 1A5,ETOBICOKE,Toronto,12464517,2246,,,,1962,Etobicoke-Lakeshore (303),,,,,2897074,222,8,No,No,,concrete,Installed,back of walk,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4834708719, 43.6209978265)}"
6007,3259899,25,Overlea Blvd,25 Overlea Blvd,M4H 1P9,EAST YORK,Toronto,3259897,25,,,,278,Don Valley West (1515),,,,,3136158,223,8,No,No,,concrete pad,Installed,boulevard,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3498166394, 43.7043506934)}"
6008,7796281,285,Dundas St W,285 Dundas St W,M5T 1G1,former TORONTO,Toronto,7796276,285,,,,558,Spadina-Fort York (1010),,,,,2196493,224,5,No,No,,concrete,Proposed,front of walk,Angled,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3909026634, 43.6542089842)}"
6009,7777919,3060,Yonge St,3060 Yonge St,,former TORONTO,Toronto,7762807,3060,,,,4733,Eglinton-Lawrence (808),,,,,2681082,225,8,Yes,No,,concrete,Proposed,front of walk,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4025142659, 43.7251780536)}"
6010,7850057,3205,Yonge St,3205 Yonge St,M4N 2L3,former TORONTO,Toronto,7850028,3205,,,,4733,Don Valley West (1515),,,,,1694832,226,8,No,No,,concrete,Installed,back of walk,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4027093519, 43.7280111262)}"
6011,8417594,384,Bloor St W,384 Bloor St W,M5S 1X2,former TORONTO,Toronto,8417592,384,,,,458,University-Rosedale (1111),,,,,2164649,227,8,No,No,,asphalt,Installed,,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4065841126, 43.6663188369)}"
6012,8680823,4,Thorncliffe Park Dr,4 Thorncliffe Park Dr,M4H 1H1,EAST YORK,Toronto,8680820,4,,,,354,Don Valley West (1515),,,,,2817076,228,8,No,No,,concrete pad,Installed,boulevard,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3509147456, 43.7061718642)}"
6013,7730103,415,Yonge St,415 Yonge St,M5B 2E7,former TORONTO,Toronto,7730098,415,,,,4733,Toronto Centre (1313),,,,,3836233,229,8,No,No,,concrete,Installed,front of walk,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3819666068, 43.6597823659)}"
6014,6349941,438,University Ave,438 University Ave,M5G 2K8,former TORONTO,Toronto,6349934,438,,,,4583,Spadina-Fort York (1010),,,,,1712532,230,8,Yes,No,,concrete,Installed,front of walk,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3887763977, 43.6543626946)}"
6015,30013532,5,Sheppard Ave E,5 Sheppard Ave E,M2N 0G4,NORTH YORK,Toronto,11835329,5,,,,6698,Willowdale (1818),,,,,1769682,231,8,No,No,,concrete,Installed,front of walk,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4098022448, 43.7614006012)}"
6016,3841975,5100,Yonge St,5100 Yonge St,M2N 5V7,NORTH YORK,Toronto,3841982,5100,,,,4733,Willowdale (1818),,,,,3837871,232,64,No,No,,,Installed,,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.414888745, 43.7672678892)}"
6017,785468,703,College St,703 College St,M6G 1C2,former TORONTO,Toronto,1144625,703,,,,9765,University-Rosedale (1111),,,,,1591368,233,8,No,No,,asphalt,Proposed,boulevard,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4179728257, 43.6550690097)}"
6018,14121163,750,Bay St,750 Bay St,M5G 1N6,former TORONTO,Toronto,7792579,750,,,,2962,University-Rosedale (1111),,,,,2104056,234,8,No,No,,pavers,Installed,front of walk,Stacker,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3859229381, 43.6596578703)}"
6019,8695865,1210,Yonge St,1210 Yonge St,M4T 1W1,former TORONTO,Toronto,8681095,1210,,,,4733,Toronto-St. Paul's (1212),,,,,2973936,235,10,Yes,No,,concrete,Installed,front of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3917379554, 43.6817458182)}"
6020,11272589,2190,Yonge St,2190 Yonge St,M4S 2B8,former TORONTO,Toronto,14230407,2190,,,,4733,Toronto-St. Paul's (1212),,,,,1657924,236,16,Yes,No,,concrete,Installed,front of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.398354474, 43.7053382317)}"
6021,30114495,2391,Lake Shore Blvd W,2391 Lake Shore Blvd W,M8V 1B7,ETOBICOKE,Toronto,913792,2391,,,,1962,Etobicoke-Lakeshore (303),,,,,4332502,237,8,No,No,,paver,Installed,adjacent to planter,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4883603536, 43.6150886595)}"
6022,7568709,2404-2406,Lake Shore Blvd W,2404-2406 Lake Shore Blvd W,M8V 1C4,ETOBICOKE,Toronto,7568677,2404,,2406.0,,1962,Etobicoke-Lakeshore (303),,,,,2151245,238,8,No,No,,paver,Installed,adjacent to planter,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4890641907, 43.6148772137)}"
6023,30032007,390,Cherry St,390 Cherry St,M5A 0E2,former TORONTO,Toronto,30029398,390,,,,3154,Spadina-Fort York (1010),,,,,3233254,239,32,No,No,,brick paver,Approved,front of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3572672377, 43.6505718789)}"
6024,30114600,4,Boulton Ave,4 Boulton Ave,M4M 2J3,former TORONTO,Toronto,20043108,4,,,,3039,Toronto-Danforth (1414),,,,,4333574,240,6,No,No,,concrete,Approved,back of walk,,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3469846875, 43.6598301324)}"
6025,10335148,538,Lansdowne Ave,538 Lansdowne Ave,,former TORONTO,Toronto,14012788,538,,,,3814,Davenport (909),,,,,1637657,241,32,Yes,No,,concrete,Approved,back of walk,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4432687409, 43.6589115384)}"
